Date,Pair,Type,Price,Amount,Total,Fee,Fee Coin
12-05-2022,ADAUPUSDT,BUY,1.239,10,12.39,3.51E-05,BNB
12-05-2022,ADAUPUSDT,BUY,1.28,4.01,5.1328,1.45E-05,BNB
12-05-2022,ADAUPUSDT,BUY,1.28,3.81,4.8768,1.38E-05,BNB
12-05-2022,LINKUPUSDT,BUY,0.01323,2041.84,27.0135432,7.41E-05,BNB
12-05-2022,LINKUPUSDT,BUY,0.01323,1208.16,15.9839568,4.38E-05,BNB
12-05-2022,BTCUPUSDT,BUY,14.425,5,72.125,0.00020046,BNB
12-05-2022,ADAUPUSDT,BUY,1.405,70.92,99.6426,0.00027473,BNB
12-05-2022,LUNAUSDT,SELL,0.03876,7012.64,271.8099264,0.00075418,BNB
12-05-2022,LUNAUSDT,BUY,0.005,2813.73,14.06865,4.04E-05,BNB
12-05-2022,LUNAUSDT,BUY,0.00688,2015.55,13.866984,3.87E-05,BNB
12-05-2022,BNBUPUSDT,SELL,46.36,0.6,27.816,7.64E-05,BNB
12-05-2022,LUNAUSDT,BUY,0.01159,1195.57,13.8566563,3.93E-05,BNB
12-05-2022,LUNAUSDT,BUY,0.0263,395.81,10.409803,2.88E-05,BNB
12-05-2022,LUNAUSDT,SELL,0.1041,100,10.41,2.84E-05,BNB
12-05-2022,LUNAUSDT,BUY,0.0501,200,10.02,2.97E-05,BNB
12-05-2022,LUNAUSDT,BUY,0.06,166.67,10.0002,3.03E-05,BNB
12-05-2022,LUNAUSDT,BUY,0.084,119.18,10.01112,3.31E-05,BNB
12-05-2022,DOTUPUSDT,SELL,0.2922,150,43.83,0.00013143,BNB
12-05-2022,LUNAUSDT,BUY,0.1603,253.31,40.605593,0.00013191,BNB
12-05-2022,BTCUPUSDT,SELL,13.371,3.05,40.78155,0.00012786,BNB
12-05-2022,LUNAUSDT,BUY,0.1601,156.19,25.006019,8.43E-05,BNB
12-05-2022,ADAUPUSDT,SELL,0.993,72.71,72.20103,0.0002336,BNB
11-05-2022,LUNAUSDT,BUY,1,11.77,11.77,3.18E-05,BNB
11-05-2022,ADAUPUSDT,BUY,2.7,3.71,10.017,2.61E-05,BNB
11-05-2022,LUNAUSDT,BUY,1.32,7.94,10.4808,2.44E-05,BNB
11-05-2022,LUNAUSDT,BUY,1.5,9.59,14.385,3.65E-05,BNB
11-05-2022,LUNAUSDT,BUY,1.87,5.35,10.0045,2.47E-05,BNB
11-05-2022,LUNAUSDT,BUY,2,5,10,2.52E-05,BNB
11-05-2022,LUNAUSDT,BUY,2.19,4.61,10.0959,2.51E-05,BNB
11-05-2022,SOLUSDT,SELL,64.17,0.66,42.3522,0.00010239,BNB
11-05-2022,LUNAUSDT,BUY,2.2,4.55,10.01,2.50E-05,BNB
11-05-2022,LUNAUSDT,BUY,2.35,4.26,10.011,2.42E-05,BNB
11-05-2022,LUNAUSDT,BUY,2.67,3.74,9.9858,2.34E-05,BNB
11-05-2022,ADAUPUSDT,BUY,3,3.34,10.02,2.40E-05,BNB
11-05-2022,SOLUSDT,BUY,66.49,0.76,50.5324,0.00011907,BNB
11-05-2022,LUNAUSDT,BUY,12,0.84,10.08,2.42E-05,BNB
11-05-2022,LUNAUSDT,BUY,12.5,0.8,10,2.41E-05,BNB
11-05-2022,MATICUSDT,BUY,0.876,12,10.512,2.48E-05,BNB
11-05-2022,AXSUSDT,BUY,24.15,0.5,12.075,2.85E-05,BNB
11-05-2022,ADAUPUSDT,BUY,3.17,3.16,10.0172,2.37E-05,BNB
11-05-2022,LINKUPUSDT,BUY,0.03192,500,15.96,3.77E-05,BNB
11-05-2022,BTCUPUSDT,BUY,18.768,0.55,10.3224,2.42E-05,BNB
11-05-2022,ETHUPUSDT,BUY,15.919,0.65,10.34735,2.43E-05,BNB
11-05-2022,ANCUSDT,BUY,0.441,25,11.025,2.61E-05,BNB
11-05-2022,LUNAUSDT,BUY,13.53,1.5,20.295,4.88E-05,BNB
09-05-2022,BNXUSDT,SELL,107,1.068,114.276,0.0002762,BNB
08-05-2022,MCUSDT,BUY,1.55,11,17.05,3.59E-05,BNB
08-05-2022,BNBUPUSDT,BUY,117.49,0.1,11.749,2.45E-05,BNB
08-05-2022,LINKUPUSDT,BUY,0.04939,250,12.3475,2.58E-05,BNB
08-05-2022,ETHUPUSDT,BUY,21.681,0.5,10.8405,2.27E-05,BNB
08-05-2022,ADAUPUSDT,BUY,4.837,2.5,12.0925,2.53E-05,BNB
05-05-2022,ADAUPUSDT,BUY,5.374,5,26.87,5.22E-05,BNB
04-05-2022,ALGOUSDT,BUY,0.6892,20,13.784,2.59E-05,BNB
04-05-2022,ALGOUSDT,BUY,0.6897,18,12.4146,2.34E-05,BNB
03-05-2022,LINKUPUSDT,BUY,0.05899,250,14.7475,2.90E-05,BNB
03-05-2022,ADAUPUSDT,BUY,5.339,4.97,26.53483,5.11E-05,BNB
01-05-2022,DOTUPUSDT,BUY,0.9332,20,18.664,3.67E-05,BNB
01-05-2022,XRPUPUSDT,BUY,0.6116,25,15.29,3.01E-05,BNB
01-05-2022,ADAUPUSDT,BUY,4.861,10,48.61,9.63E-05,BNB
01-05-2022,GMTUSDT,SELL,3.46625,47.3,163.953625,0.00032333,BNB
30-04-2022,MATICUSDT,BUY,1.101,33.5,36.8835,7.10E-05,BNB
29-04-2022,DOTUPUSDT,BUY,1.1923,10,11.923,2.20E-05,BNB
29-04-2022,MATICUSDT,BUY,1.228,30,36.84,6.80E-05,BNB
