Date,Pair,Buy_Sell,Price,Volume,Spent_Gain
12-05-2022,ADAUPUSDT,BUY,1.239,10,12.39
12-05-2022,ADAUPUSDT,BUY,1.28,4.01,5.1328
12-05-2022,ADAUPUSDT,BUY,1.28,3.81,4.8768
12-05-2022,LINKUPUSDT,BUY,0.01323,2041.84,27.0135432
12-05-2022,LINKUPUSDT,BUY,0.01323,1208.16,15.9839568
12-05-2022,BTCUPUSDT,BUY,14.425,5,72.125
12-05-2022,ADAUPUSDT,BUY,1.405,70.92,99.6426
12-05-2022,LUNAUSDT,SELL,0.03876,7012.64,271.8099264
12-05-2022,LUNAUSDT,BUY,0.005,2813.73,14.06865
12-05-2022,LUNAUSDT,BUY,0.00688,2015.55,13.866984
12-05-2022,BNBUPUSDT,SELL,46.36,0.6,27.816
12-05-2022,LUNAUSDT,BUY,0.01159,1195.57,13.8566563
12-05-2022,LUNAUSDT,BUY,0.0263,395.81,10.409803
12-05-2022,LUNAUSDT,SELL,0.1041,100,10.41
12-05-2022,LUNAUSDT,BUY,0.0501,200,10.02
12-05-2022,LUNAUSDT,BUY,0.06,166.67,10.0002
12-05-2022,LUNAUSDT,BUY,0.084,119.18,10.01112
12-05-2022,DOTUPUSDT,SELL,0.2922,150,43.83
12-05-2022,LUNAUSDT,BUY,0.1603,253.31,40.605593
12-05-2022,BTCUPUSDT,SELL,13.371,3.05,40.78155
12-05-2022,LUNAUSDT,BUY,0.1601,156.19,25.006019
12-05-2022,ADAUPUSDT,SELL,0.993,72.71,72.20103
11-05-2022,LUNAUSDT,BUY,1,11.77,11.77
11-05-2022,ADAUPUSDT,BUY,2.7,3.71,10.017
11-05-2022,LUNAUSDT,BUY,1.32,7.94,10.4808
11-05-2022,LUNAUSDT,BUY,1.5,9.59,14.385
11-05-2022,LUNAUSDT,BUY,1.87,5.35,10.0045
11-05-2022,LUNAUSDT,BUY,2,5,10
11-05-2022,LUNAUSDT,BUY,2.19,4.61,10.0959
11-05-2022,SOLUSDT,SELL,64.17,0.66,42.3522
11-05-2022,LUNAUSDT,BUY,2.2,4.55,10.01
11-05-2022,LUNAUSDT,BUY,2.35,4.26,10.011
11-05-2022,LUNAUSDT,BUY,2.67,3.74,9.9858
11-05-2022,ADAUPUSDT,BUY,3,3.34,10.02
11-05-2022,SOLUSDT,BUY,66.49,0.76,50.5324
11-05-2022,LUNAUSDT,BUY,12,0.84,10.08
11-05-2022,LUNAUSDT,BUY,12.5,0.8,10
11-05-2022,MATICUSDT,BUY,0.876,12,10.512
11-05-2022,AXSUSDT,BUY,24.15,0.5,12.075
11-05-2022,ADAUPUSDT,BUY,3.17,3.16,10.0172
11-05-2022,LINKUPUSDT,BUY,0.03192,500,15.96
11-05-2022,BTCUPUSDT,BUY,18.768,0.55,10.3224
11-05-2022,ETHUPUSDT,BUY,15.919,0.65,10.34735
11-05-2022,ANCUSDT,BUY,0.441,25,11.025
11-05-2022,LUNAUSDT,BUY,13.53,1.5,20.295
09-05-2022,BNXUSDT,SELL,107,1.068,114.276
08-05-2022,MCUSDT,BUY,1.55,11,17.05
08-05-2022,BNBUPUSDT,BUY,117.49,0.1,11.749
08-05-2022,LINKUPUSDT,BUY,0.04939,250,12.3475
08-05-2022,ETHUPUSDT,BUY,21.681,0.5,10.8405
08-05-2022,ADAUPUSDT,BUY,4.837,2.5,12.0925
05-05-2022,ADAUPUSDT,BUY,5.374,5,26.87
04-05-2022,ALGOUSDT,BUY,0.6892,20,13.784
04-05-2022,ALGOUSDT,BUY,0.6897,18,12.4146
03-05-2022,LINKUPUSDT,BUY,0.05899,250,14.7475
03-05-2022,ADAUPUSDT,BUY,5.339,4.97,26.53483
01-05-2022,DOTUPUSDT,BUY,0.9332,20,18.664
01-05-2022,XRPUPUSDT,BUY,0.6116,25,15.29
01-05-2022,ADAUPUSDT,BUY,4.861,10,48.61
01-05-2022,GMTUSDT,SELL,3.46625,47.3,163.953625
30-04-2022,MATICUSDT,BUY,1.101,33.5,36.8835
29-04-2022,DOTUPUSDT,BUY,1.1923,10,11.923
29-04-2022,MATICUSDT,BUY,1.228,30,36.84
29-04-2022,AAVEUSDT,BUY,165.4,0.31,51.274
